"","Factor 1","Factor 2","Factor 3","Factor 4"
"ENSG00000278783",0.236677557229996,0.0991550087928772,-0.0756272524595261,-2.06424687121398e-07
"ENSG00000276733",0.132302284240723,0.218221038579941,-0.03504753485322,1.19988123969961e-06
"ENSG00000266019",-0.0311573520302773,-0.0194503646343946,-0.0446866564452648,6.94449283855647e-07
"ENSG00000207816",0.138175442814827,0.245736479759216,-0.090050533413887,1.12886516490107e-06
"ENSG00000207744",-0.0575613416731358,-0.0659478232264519,-0.0512237921357155,1.4565571291314e-06
"ENSG00000278267",-0.0895632728934288,-0.0763675346970558,-0.0627331882715225,-0.000268254632828757
"ENSG00000221025",0.172140806913376,0.129007428884506,-0.0165233891457319,-9.75900434241339e-07
"ENSG00000207559",0.149463936686516,0.0102135390043259,0.115676559507847,-8.40033351323655e-07
"ENSG00000207736",0.0171754583716393,0.168620318174362,0.112136483192444,-1.13299283839297e-05
"ENSG00000275110",-0.15303273499012,-0.0719055384397507,-0.0438571386039257,6.72213928964993e-08
"ENSG00000199161",-0.0640992224216461,0.0320984497666359,-0.017007565125823,-4.13931320508709e-06
"ENSG00000283971",0.103620901703835,0.0157311409711838,-0.0189182907342911,1.21921152640425e-06
"ENSG00000265465",0.0570262335240841,-0.0379998460412025,0.0546881817281246,-1.33105659188004e-05
"ENSG00000264357",-0.114933550357819,-0.00153594254516065,-0.00924727879464626,-1.14945896712015e-06
"ENSG00000266174",0.211956202983856,0.0414169244468212,-0.024185448884964,-1.91054414244718e-06
"ENSG00000264266",0.0637973248958588,-0.02869594655931,-0.117294996976852,-2.13884891309135e-06
"ENSG00000265660",0.0529818274080753,0.0688681527972221,0.173992410302162,2.91446349365287e-06
"ENSG00000284266",0.167094215750694,0.0726152583956718,0.0553000755608082,3.73453690372116e-06
"ENSG00000265215",-0.0125707527622581,0.341977804899216,0.0482498481869698,-7.14590498773759e-07
"ENSG00000208028",-0.0538777150213718,-0.0782272070646286,0.0202653985470533,2.5916230583789e-07
"ENSG00000207870",-0.12703363597393,-0.0153224859386683,0.0736668333411217,3.79721291210444e-06
"ENSG00000266721",0.159661054611206,0.00379738584160805,-0.157324969768524,-3.36702964887081e-06
"ENSG00000264370",-0.0977919176220894,-0.00513524562120438,-0.106168761849403,1.22063624985458e-06
"ENSG00000207933",-0.0179277863353491,-0.00523836584761739,-0.0569135919213295,3.08081575894903e-06
"ENSG00000221598",0.0493097677826881,0.195166438817978,0.0500638075172901,-7.46300020182389e-06
"ENSG00000266189",0.116569988429546,0.0216245260089636,-0.0499986708164215,9.73309965957014e-08
"ENSG00000278108",0.0875134766101837,0.093906432390213,-0.0405664704740047,-4.08472806157079e-06
"ENSG00000207971",0.0445136614143848,-0.0224550105631351,0.0059919198974967,9.7606549388729e-05
"ENSG00000199038",-0.0894133746623993,-0.041127547621727,-0.071390263736248,2.92289257686207e-07
"ENSG00000275344",-0.0718225911259651,-0.155280470848083,0.0650886297225952,1.2577701227201e-06
"ENSG00000207864",-0.130760163068771,0.00628021871671081,-0.039147425442934,-1.26930481201271e-05
"ENSG00000263515",0.092349499464035,0.0949862599372864,-0.0621591359376907,0.000176172616193071
"ENSG00000264534",0.0497123263776302,0.036296434700489,0.0022451535332948,-1.84807402092702e-06
"ENSG00000266307",0.135356113314629,-0.0180511698126793,-0.0153099950402975,-4.64864024252165e-06
"ENSG00000266750",-0.0226525254547596,-0.00129993248265237,0.114786230027676,8.47209776111413e-06
"ENSG00000276712",-0.0320784784853458,-0.0538291074335575,0.0097264563664794,-2.88392993752495e-06
"ENSG00000276365",-0.0589790977537632,0.0168183259665966,-0.0486933290958405,-1.04071123132599e-05
"ENSG00000207563",-0.145371496677399,0.00808200426399708,-0.0731064453721046,-2.30037858273135e-06
"ENSG00000199053",-0.0267036277800798,-0.0552631728351116,-0.0246045179665089,-2.0156810478511e-06
"ENSG00000264834",0.115186847746372,0.14684996008873,0.0406160168349743,1.17385093290068e-06
"ENSG00000266124",-0.0117890229448676,0.0162938795983791,-0.0465023405849934,3.94175276596798e-06
"ENSG00000207585",0.0531860142946243,0.0162763502448797,-0.0404875949025154,-4.98718790709063e-08
"ENSG00000274494",-0.00971464067697525,-0.0462112203240395,-0.0119970245286822,5.16352997692593e-07
"ENSG00000263834",-0.0220104493200779,0.217967987060547,0.0252987705171108,-1.85464472224339e-07
"ENSG00000207954",0.0444094948470592,0.053481075912714,-0.031950231641531,2.8666520393017e-06
"ENSG00000266235",0.000859563355334103,-0.000145917176268995,-0.0608518160879612,-2.64479353973002e-06
"ENSG00000211513",-0.0828429386019707,-0.0442772731184959,0.039219081401825,-1.94581480172928e-05
"ENSG00000266104",0.0184506867080927,-0.0455110669136047,-0.00114394072443247,2.07258085538342e-06
"ENSG00000207721",0.0133479312062263,0.00512454472482204,-0.000993832829408348,1.72405589182745e-06
"ENSG00000266852",0.0856269598007202,0.133991047739983,-0.00233128946274519,2.54128212873184e-06
"ENSG00000277249",-0.0218760035932064,-0.0695009976625443,0.0426435023546219,-0.00117255595978349
"ENSG00000207789",0.0385990962386131,-0.00590264331549406,-0.0595335848629475,-8.44584792503156e-06
"ENSG00000207631",0.0406998693943024,0.00806883629411459,0.0120495334267616,-1.26131715205702e-06
"ENSG00000266559",-0.137769520282745,-0.0545821711421013,0.0757612437009811,-5.6352973842877e-07
"ENSG00000278739",-0.0481003485620022,-0.0493380501866341,-0.0128475427627563,-1.13904059162451e-06
"ENSG00000211997",0.0114813596010208,-0.0761577039957047,0.0562163777649403,-1.34155629893939e-06
"ENSG00000265112",-0.07396200299263,-0.0351372547447681,-0.0877312496304512,1.01590539998142e-05
"ENSG00000199036",0.0460451021790504,-0.0963489264249802,0.0416439808905125,-3.86746492608836e-08
"ENSG00000283676",0.00200374028645456,0.00756793096661568,0.126510754227638,-2.83781610050937e-05
"ENSG00000264539",0.105939447879791,0.0322891250252724,-0.0390819273889065,-4.38955203208025e-06
"ENSG00000277681",0.00577418925240636,-0.036356583237648,-0.0243890956044197,-1.25986807688605e-05
"ENSG00000266640",-0.141046836972237,0.0146285239607096,-0.0301279649138451,-3.87535510526504e-05
"ENSG00000283929",0.0354210734367371,0.0188015978783369,-0.0529887266457081,2.36107166529109e-06
"ENSG00000263675",-0.0143605573102832,0.00524096004664898,0.0203108508139849,-1.05564158729976e-05
"ENSG00000283672",0.148858487606049,0.0712857246398926,0.00715090101584792,-4.29423525929451e-05
"ENSG00000274824",-0.0370714105665684,0.0713336169719696,0.040826428681612,-6.6555599005369e-06
"ENSG00000207697",0.165645703673363,0.0918551757931709,-0.00551473256200552,-3.8395876345021e-07
"ENSG00000207575",0.215203404426575,0.00553164957091212,-0.0884948447346687,-1.16217435675026e-07
"ENSG00000264425",-0.0863586962223053,-0.0233627259731293,-0.0333496071398258,-1.7693977270028e-06
"ENSG00000284154",-0.0920407846570015,-0.0972572937607765,0.0605072900652885,0.00014372865553014
"ENSG00000276404",0.0343811996281147,-0.0929771363735199,-0.0798090994358063,3.39665689352842e-06
"ENSG00000199172",0.0749223679304123,0.0927224457263947,-0.0710061267018318,-7.60581826853013e-07
"ENSG00000276961",-0.0836457312107086,-0.0482629537582397,0.127863332629204,2.39596602114034e-06
"ENSG00000265539",-0.00986768398433924,0.00380925182253122,-0.0589480400085449,-1.0239794789868e-07
"ENSG00000266712",0.0425323657691479,0.00646055629476905,0.0591962859034538,-1.2583692523549e-06
"ENSG00000211581",-0.0603163205087185,-0.0311858635395765,0.00892198923975229,-1.10374969608529e-06
"ENSG00000221269",0.0533879213035107,-0.000267187715508044,-0.0270731616765261,4.33422519563464e-06
"ENSG00000264553",-0.0931328386068344,-0.055830005556345,0.0224134940654039,1.3893633195039e-06
"ENSG00000207973",-0.0192439313977957,-0.0832878798246384,-0.0943291038274765,-1.70241255545989e-05
"ENSG00000266017",0.13545748591423,-0.0187142547219992,-0.00305959046818316,3.53481141246448e-06
"ENSG00000207611",-0.118224918842316,0.01141089014709,-0.0307227279990911,2.03717286240135e-06
"ENSG00000264720",0.124502822756767,0.00863493327051401,-0.00298189953900874,5.90068657402298e-06
"ENSG00000207741",-0.0647685974836349,-0.0116990897804499,-0.0327446758747101,-9.87726252787979e-07
"ENSG00000273874",0.0246190503239632,-0.00359837105497718,-0.0169186647981405,-2.02354300427032e-07
"ENSG00000277892",0.017419520765543,0.00389123451896012,0.042753528803587,-6.12077383266296e-06
"ENSG00000207696",0.0909471660852432,0.0657217651605606,-0.0121196387335658,2.91580636258004e-06
"ENSG00000264773",-0.080372579395771,-0.0951247364282608,0.108343064785004,4.0835686831997e-07
"ENSG00000221540",-0.035533607006073,0.00345550011843443,-0.0455002151429653,-3.15415718432632e-07
"ENSG00000221520",0.0337284952402115,0.0471838489174843,-0.0786022990942001,-3.68334585800767e-05
"ENSG00000264279",0.0380538366734982,0.0911104530096054,0.0461356528103352,3.04385821436881e-06
"ENSG00000264395",0.14227120578289,-0.0500585548579693,0.029460284858942,-1.18873258543317e-05
"ENSG00000275022",-0.101858779788017,-0.0520992428064346,0.0663415566086769,1.91786625691748e-06
"ENSG00000211491",0.0191230643540621,0.143166497349739,0.0123379491269588,8.51312779559521e-06
"ENSG00000199023",-0.0858441889286041,0.0841507688164711,0.013212539255619,-6.96412996603613e-07
"ENSG00000264056",0.0703507289290428,0.00604415219277143,0.00918335653841496,-6.77576906582544e-07
"ENSG00000265996",0.0639018043875694,0.0432358346879482,0.0284190159291029,5.98794940742664e-06
"ENSG00000283409",0.0602161400020123,0.0187278315424919,0.0167488250881433,1.18442733310076e-06
"ENSG00000264961",0.0555585138499737,0.00660938117653131,-0.0728496462106705,-3.89189926863764e-06
"ENSG00000265195",0.0980239436030388,-0.0144603857770562,0.0417611487209797,-2.12303348234855e-06
"ENSG00000263361",-0.0323361344635487,0.0620464533567429,0.0369087345898151,-9.88626561593264e-06
"ENSG00000278418",0.0324668772518635,-0.00954322330653667,0.0514247417449951,-1.06057939319726e-06
"ENSG00000274816",-0.0963104665279388,0.000776965811382979,0.0815698131918907,4.2586370909703e-06
"ENSG00000266370",0.0832765623927116,0.0112880393862724,-0.0604376867413521,9.54487290982797e-07
"ENSG00000283498",-0.162358596920967,-0.0227429196238518,-0.00451473519206047,-7.5574967013381e-06
"ENSG00000266240",0.0819388404488564,0.0266020838171244,-0.00990816578269005,-3.57812632501009e-06
"ENSG00000283891",0.0143469078466296,0.229691058397293,0.0338279865682125,1.77836523107544e-06
"ENSG00000208037",0.0134879248216748,-0.0161198377609253,-0.000908958958461881,1.54318604472792e-06
"ENSG00000264864",-0.0450063459575176,-0.00365075701847672,-0.0793134570121765,-1.67930124916893e-06
"ENSG00000211575",-0.044196505099535,0.101042255759239,0.0351819954812527,3.68205946870148e-05
"ENSG00000199024",-0.00426342850551009,0.125158429145813,-0.0101041374728084,9.35219395614695e-06
"ENSG00000266643",0.081572137773037,0.0585298091173172,-0.0388154573738575,-1.91528533832752e-06
