"","Factor 1","Factor 2","Factor 3","Factor 4"
"ENSG00000129824",-0.0328778326511383,-0.029854092746973,0.0609714277088642,-0.36079004406929
"ENSG00000012817",-0.0124910278245807,-0.0109877241775393,0.0750469118356705,-0.361382633447647
"ENSG00000067048",-0.0160336531698704,-0.01322200614959,0.0705583468079567,-0.3631651699543
"ENSG00000114374",-0.0204817559570074,-0.0130072562023997,0.0718383193016052,-0.365772724151611
"ENSG00000198692",-0.0238240864127874,-0.0195467919111252,0.0662610828876495,-0.360884159803391
"ENSG00000183878",-0.0196635629981756,-0.0185518302023411,0.0716250315308571,-0.367352515459061
"ENSG00000067646",-0.0253051333129406,-0.0223057307302952,0.0638251155614853,-0.364576458930969
"ENSG00000134184",-0.055876474827528,-0.022291224449873,0.0291829388588667,4.99821953781066e-06
"ENSG00000188257",-0.284913122653961,-0.133328154683113,-0.0385408475995064,1.53106138895964e-05
"ENSG00000165246",-0.0143707888200879,-0.007755221799016,0.0646181255578995,-0.347923755645752
"ENSG00000133110",-0.309022605419159,-0.0646224394440651,-0.0812587887048721,2.73640671366593e-06
"ENSG00000173432",-0.265323549509048,-0.11454975605011,-0.0434467159211636,1.20815371928984e-07
"ENSG00000133048",-0.355012089014053,-0.0651671886444092,-0.0216442719101906,1.5035583601275e-05
"ENSG00000012223",-0.276180773973465,-0.100878290832043,0.0242029838263988,9.10966662104329e-07
"ENSG00000029559",-0.228134736418724,-0.134640797972679,-0.0188097972422838,1.92460129255778e-06
"ENSG00000180818",-0.297178834676743,-0.127517834305763,-0.0834866911172867,-2.84345583168033e-06
"ENSG00000106004",-0.297927379608154,-0.156162589788437,-0.0555859431624413,4.80607150166179e-06
"ENSG00000168779",-0.29836043715477,-0.135454908013344,-0.0929136872291565,5.20802359460504e-07
"ENSG00000119973",0.288022398948669,0.180016681551933,0.0648088231682777,2.20291823893604e-07
"ENSG00000099725",0.0285713337361813,-0.0165060292929411,0.0515371784567833,-0.340283900499344
"ENSG00000128714",-0.256503194570541,-0.132588416337967,-0.0934585183858871,-5.87627400818747e-05
"ENSG00000128710",-0.246354281902313,-0.137907609343529,-0.108248554170132,-1.61340096838103e-06
"ENSG00000105997",-0.298700958490372,-0.14882504940033,-0.0907888114452362,2.60650313066435e-06
"ENSG00000253293",-0.205602616071701,-0.213116034865379,0.0195737648755312,-5.27124939253554e-06
"ENSG00000163064",-0.27189889550209,-0.102270282804966,-0.0610274709761143,3.5748994378082e-06
"ENSG00000154620",-0.00719222938641906,0.00329356198199093,0.0879825204610825,-0.36104279756546
"ENSG00000089116",0.212970480322838,0.117374315857887,-0.129266902804375,8.00632733444218e-06
"ENSG00000105996",-0.301234275102615,-0.146267980337143,-0.0864464864134789,-3.01864673701857e-07
"ENSG00000106511",-0.340947717428207,-0.0138542987406254,-0.0991110131144524,-1.0299646646672e-06
"ENSG00000106031",-0.0117498785257339,-0.202150240540504,0.127604320645332,-1.40441497933352e-05
"ENSG00000128709",-0.173580303788185,-0.178444743156433,-0.0313269682228565,5.54364987692679e-07
"ENSG00000176294",0.25590568780899,-0.131817430257797,0.191894695162773,-1.92667380360945e-06
"ENSG00000171540",-0.326965600252151,-0.092252641916275,-0.111445173621178,1.36774553993746e-06
"ENSG00000197430",0.00241639371961355,0.313899755477905,0.16904328763485,-1.54504468810046e-05
"ENSG00000183072",-0.238529399037361,-0.176264569163322,-0.0631892010569572,1.62440119311213e-06
"ENSG00000170561",0.27365317940712,-0.0532863698899746,0.181796744465828,-0.000229461918934248
"ENSG00000122592",-0.2572261095047,-0.158045470714569,-0.031627468764782,-9.09250900349434e-07
"ENSG00000204542",-0.302426546812057,-0.0652108937501907,-0.0697306022047997,7.39457505005703e-07
"ENSG00000121742",-0.0216784868389368,0.358768671751022,0.126153826713562,-6.14367627349566e-06
"ENSG00000135903",-0.290650546550751,-0.0598994344472885,-0.0649999752640724,4.50099093995959e-07
"ENSG00000107807",0.198698610067368,0.0865620300173759,-0.164320915937424,-1.08094136521686e-05
"ENSG00000257017",-0.22575281560421,-0.116274438798428,-0.0186352469027042,3.82359576178715e-06
"ENSG00000183090",0.265595644712448,0.051175095140934,0.221931084990501,-5.44692238690914e-06
"ENSG00000164794",0.000922484090551734,0.41375070810318,-0.000683573307469487,1.02357762443717e-06
"ENSG00000005073",-0.105255149304867,-0.228725001215935,0.0747747197747231,-2.60610227087454e-06
"ENSG00000123388",-0.292951315641403,-0.110755518078804,-0.106302440166473,-5.02388829772826e-05
"ENSG00000154478",0.0198081564158201,0.415313243865967,-0.00228653266094625,1.78228344793752e-06
"ENSG00000180806",-0.280059427022934,-0.136984378099442,-0.0860152393579483,-6.11830000707414e-06
"ENSG00000124102",-0.174147799611092,-0.12116751819849,-0.0362738743424416,2.14384590435657e-06
"ENSG00000186493",0.258018374443054,-0.0568135976791382,0.179856687784195,-0.000218635104829445
"ENSG00000128713",-0.29382398724556,-0.1285630017519,-0.0984954163432121,-2.28029985009925e-05
"ENSG00000164107",-0.110673263669014,-0.190354809165001,0.0359248220920563,1.11946019387688e-05
"ENSG00000120093",-0.303318560123444,-0.146321892738342,-0.0285558495670557,-1.22088677017018e-05
"ENSG00000172987",0.24250653386116,0.15111331641674,0.192802935838699,-0.000111131754238158
"ENSG00000156076",-0.0465822368860245,0.308982610702515,0.0943706929683685,1.43541519719292e-05
"ENSG00000125813",0.281681895256042,-0.00414647907018661,0.0288215316832066,-1.07670950910688e-06
"ENSG00000123364",-0.272240698337555,-0.127688437700272,-0.0908147469162941,-9.07624198589474e-05
"ENSG00000089225",-0.0169048011302948,0.0720415115356445,-0.183788910508156,1.18641919470974e-05
"ENSG00000205809",0.273826211690903,0.0259697027504444,0.0234467443078756,0.000185460565262474
"ENSG00000197757",-0.265489190816879,-0.128679171204567,-0.0593644604086876,-2.23106417251984e-06
"ENSG00000136231",-0.254832893610001,-0.172282069921494,-0.0481514520943165,1.60062722898147e-06
"ENSG00000184302",-0.173112660646439,-0.0706397593021393,-0.0148885939270258,8.76850936037954e-06
"ENSG00000100985",-0.201866984367371,-0.160709917545319,-0.110234573483467,4.85809380279534e-07
"ENSG00000152034",-0.00310320104472339,0.430645883083344,0.0103812115266919,-3.97484683389848e-07
"ENSG00000164600",0.0111261736601591,0.424461960792542,0.0470241494476795,-1.09045131466701e-05
"ENSG00000145423",0.243646189570427,0.0895169675350189,0.213973388075829,-4.95290214530542e-06
"ENSG00000170549",0.0993149355053902,-0.0984836295247078,0.154588893055916,-0.000212444370845333
"ENSG00000159184",-0.237615019083023,-0.0981325656175613,-0.126624494791031,-1.61560774358804e-06
"ENSG00000104888",0.00779410637915134,0.405430883169174,0.0356990285217762,-1.54782355821226e-06
"ENSG00000188162",0.0863665640354156,0.191278919577599,-0.061054278165102,4.21501908931532e-06
"ENSG00000134028",-0.122579328715801,-0.175382420420647,-0.109030053019524,-1.99156875169137e-05
"ENSG00000123496",-0.292031228542328,0.0173432193696499,-0.0518801882863045,9.73117403191281e-06
"ENSG00000006116",0.0298600196838379,0.424009174108505,0.0232553705573082,-6.91557602294779e-07
"ENSG00000143355",-0.0401343442499638,-0.102078102529049,0.0361292362213135,4.89293506689137e-06
"ENSG00000164326",-0.105264991521835,0.398540139198303,0.0776999220252037,-3.79672860617575e-06
"ENSG00000037965",-0.277874380350113,-0.128364399075508,-0.0883700922131538,-3.22808250530215e-06
"ENSG00000149948",-0.292980074882507,-0.106890343129635,-0.0556880757212639,3.22919191830806e-07
"ENSG00000166862",0.216407462954521,0.296089053153992,-0.0642345696687698,1.56248315761331e-05
"ENSG00000079931",-0.35635769367218,0.0913120061159134,-0.000479549256851897,-3.79357675228675e-06
"ENSG00000142700",-0.307436972856522,-0.0484942682087421,-0.03939288854599,-2.2520072889165e-05
"ENSG00000185559",-0.111733436584473,-0.00330425100401044,-0.0322594866156578,2.40755269942383e-07
"ENSG00000277586",-0.011304484680295,0.416130900382996,0.0218802206218243,-3.48940716321522e-06
"ENSG00000175879",-0.0346429422497749,-0.196054592728615,0.0230055749416351,-1.64117295753385e-06
"ENSG00000022355",0.0400789864361286,0.433244735002518,0.0133879240602255,-2.43280078393582e-06
"ENSG00000163206",0.30544251203537,-0.0278707034885883,0.126433044672012,-7.64643061756942e-07
"ENSG00000161798",-0.386679142713547,0.113771192729473,-0.052266713231802,4.00836552216788e-06
"ENSG00000175084",-0.290537148714066,0.0648459196090698,-0.0724325329065323,7.61770661483752e-06
"ENSG00000119283",0.191318497061729,0.215606406331062,-0.17775359749794,2.74422768598015e-06
"ENSG00000145451",0.261618405580521,0.197545111179352,0.0239509399980307,-1.6087221865746e-06
"ENSG00000275385",-0.0626709014177322,-0.136778950691223,-0.0517132803797722,-2.10622456506826e-05
"ENSG00000108846",-0.286066442728043,-0.161077201366425,0.0207484755665064,5.06547848999617e-07
"ENSG00000164283",-0.209111988544464,-0.149312123656273,-0.0961736217141151,9.92888999462593e-07
"ENSG00000137673",-0.105405256152153,-0.240525141358376,0.0889253988862038,-2.95627705781953e-06
"ENSG00000163395",0.224510416388512,0.0884478688240051,0.0743075832724571,-0.000183977113920264
"ENSG00000182742",-0.25460559129715,-0.18022608757019,0.00877207331359386,5.53085692445165e-06
"ENSG00000178394",0.196299836039543,0.311462551355362,-0.0267295204102993,-8.1754196799011e-06
"ENSG00000101327",-0.0381207764148712,0.292302489280701,-0.039954237639904,-9.41862435865914e-06
"ENSG00000237541",-0.112811796367168,-0.132925465703011,0.105187639594078,3.65410392078047e-06
"ENSG00000078399",-0.232293322682381,-0.152509540319443,0.000334097479935735,1.46062816952508e-07
"ENSG00000169035",0.000227792261284776,0.407410591840744,0.0506387948989868,1.7841854287326e-06
"ENSG00000174343",-0.241749405860901,-0.126400113105774,-0.0501772351562977,1.03990691968647e-06
"ENSG00000166006",0.0677489191293716,0.40016707777977,-0.0606446079909801,5.00061105412897e-07
"ENSG00000113327",0.116412453353405,0.379869073629379,-0.0491829551756382,2.36334486203305e-07
