"","Factor 1","Factor 2","Factor 3","Factor 4"
"IDH1",1.95820271968842,9.66253646765836e-05,0.647574186325073,1.22855626614182e-05
"PLEKHG4B",-2.65733660853584e-06,-1.0810452295118e-05,-2.73906807706226e-05,8.31076613394544e-06
"DNAH8",-1.6275729649351e-05,-5.06691321788821e-05,-2.63121837633662e-05,6.33236095382017e-06
"FRMPD4",4.46916328655789e-06,-5.39902612217702e-06,-1.38118757604389e-05,-4.22648918174673e-06
"NF1",-0.00077279785182327,-1.13445357783348e-05,1.38612203954835e-05,1.24621956274495e-05
"FUBP1",0.000268956267973408,0.000154210487380624,-0.00240204622969031,-6.43275598122273e-06
"WDFY3",1.12511395400361e-06,-1.93326695807627e-06,-8.64252615428995e-06,-4.99689167554607e-06
"HDAC2",3.92993024433963e-06,-1.20802324090619e-05,-4.80798844364472e-05,-5.3061658036313e-06
"NOTCH1",0.00280828541144729,0.000265905109699816,-0.0232680588960648,-7.77285731601296e-06
"PIK3R1",3.51828839484369e-06,-1.02356498246081e-05,-3.99036034650635e-05,-3.22998675983399e-05
"PLCE1",-6.00500379732694e-06,-1.33920075313654e-05,-4.68628428507145e-07,6.62737193124485e-06
"OR5D16",-3.03346951113781e-06,-1.01301520771813e-05,1.59431090196449e-06,9.16078022328293e-07
"LRRIQ1",-2.20962715502537e-06,-7.80073969508521e-06,-4.81514825878548e-06,-7.06343357137484e-08
"NOS1",-1.75728619069559e-05,-1.34127094497671e-05,-1.88982812687755e-05,-7.09689129507751e-06
"ACADS",-1.30709167933674e-05,-1.08145195554243e-05,1.4993138393038e-06,6.73850024668354e-07
"TP53",0.488567322492599,-0.0308020003139973,0.659954905509949,-2.36341566051124e-05
"MUC16",-1.76107878360199e-05,-6.0379028582247e-05,-1.06249744931119e-05,-8.44572969072033e-06
"RALGAPA2",1.21258540275448e-06,1.17678000606247e-05,-3.16786986331863e-06,-3.71378496311081e-06
"LAMA5",-1.1137544788653e-05,-1.34643744331697e-06,6.10549068369437e-06,-6.15697763350909e-06
"PIK3CA",-7.45802663004724e-06,3.30382317770272e-05,-0.000519350112881511,1.63104482453491e-06
"LAMA2",1.26476635387007e-07,-4.96859684062656e-06,-1.72209649917932e-06,-6.78524020258919e-06
"DCAF12L1",-1.14532031147974e-05,-5.04311492477427e-06,4.92962999487645e-06,9.25310359889409e-06
"ELTD1",6.22325273980096e-07,1.96617311303271e-05,-3.03997580886062e-06,-3.49741299032758e-06
"PTEN",-0.228290289640427,-8.61836961121298e-05,-0.000140997159178369,1.46763824204754e-07
"PGR",-5.27608926859102e-06,3.2183081657422e-06,2.70163081950159e-06,-2.74206877293182e-06
"ABCC9",-8.19554770714603e-06,-1.99631886061979e-05,-3.88794687751215e-05,-5.38064159627538e-06
"GABRB3",-5.45594548384543e-06,-2.15447994378337e-06,2.40355097957945e-06,4.30359068559483e-06
"GRIN2A",-1.96814125956735e-05,-2.58225190918893e-05,-1.46957665947411e-06,-8.52090215630597e-06
"DSG3",-1.71179599419702e-05,-1.01970426840126e-05,-1.14585118353716e-05,-1.11813178591547e-05
"RPSAP58",-1.99959195015253e-05,-8.08752429293236e-06,3.00383294415951e-06,5.42144562132307e-06
"FAM123C",-1.21505336210248e-05,-1.6874300854397e-05,-7.70631413615774e-06,8.65005347350234e-07
"PLCG1",-1.70793300640071e-05,1.72944396581443e-06,5.08773564433795e-06,2.15080808629864e-06
"TMPRSS15",-1.16809524115524e-05,-1.04297141660936e-05,-1.65914680110291e-05,-3.66446806765452e-06
"MX2",1.94171707335045e-06,-5.91760226598126e-06,-5.5037439778971e-06,-3.54015514858474e-06
"GOLGA4",8.95259836397599e-06,-1.56336991494754e-05,-2.28031512961024e-06,-9.56427174969576e-06
"ABCB1",-1.12435930077481e-06,-1.5112260598471e-06,8.59642659634119e-06,-5.94807943343767e-06
"KEL",-9.05215347302146e-05,-0.000114164606202394,-1.75929308170453e-05,7.60949751565931e-06
"MST1P9",-1.18163679871941e-05,-5.21173114975682e-06,-1.48960070873727e-05,8.18205353425583e-06
"CACNA1S",-9.6624762591091e-06,-2.28097997023724e-05,-1.21632465379662e-05,-2.40512854361441e-05
"OBSCN",-6.30551221547648e-05,-2.83228037005756e-05,-1.9468290702207e-05,-1.19236674436252e-05
"TRIM58",5.95413939663558e-06,-2.77714025287423e-06,6.53588259069693e-08,-1.06687166407937e-05
"NUMA1",6.90250453772023e-06,3.27615884998522e-06,-3.19538548865239e-06,9.5574057468184e-07
"CD163L1",-8.5350811787066e-06,-3.5561506592785e-06,-5.53892846255621e-07,-9.68102358456235e-06
"UHRF1BP1L",5.02221882925369e-06,1.85576591320569e-05,-1.88145240826998e-05,-7.80990103521617e-06
"ZNF407",-6.391856004484e-06,-9.60026591201313e-06,-1.51738117892819e-06,-3.52635743183782e-06
"ZAP70",3.37756137014367e-06,-2.17303913814249e-05,6.33962008578237e-06,-5.70699171476008e-07
"GCC2",3.9445197108634e-10,-6.433639732073e-10,7.74280140003469e-10,-1.62041102758081e-10
"SCN5A",-1.59781902766554e-05,-7.7696950029349e-06,1.45228557357768e-06,-1.0550259048614e-06
"ADAMTS16",-1.91840535990195e-05,-2.6049146981677e-05,-1.01201394500094e-05,4.08595406042878e-06
"FBN2",-1.58566508616786e-05,-1.57249523908831e-05,-5.11293592353468e-06,6.59497118249419e-06
"GPR116",3.36442326442921e-06,-1.09498259917018e-05,3.4465238059056e-06,4.58042677564663e-06
"EGFR",-0.18785597383976,-2.21515838347841e-05,-0.000124520898680203,-1.85128828888992e-05
"SEMA3E",-1.14081449282821e-05,-1.5546909708064e-05,-1.14657759695547e-05,7.34494869902846e-06
"ANK1",-9.14922020456288e-06,-2.63706751866266e-05,4.08481042768472e-07,9.05115666682832e-06
"RP1",-1.61286006914452e-05,-3.10326977341902e-05,-1.73204734892352e-05,-7.32797752789338e-06
"SLCO5A1",-5.46074033991317e-06,-6.85030863678548e-06,-3.55914630745247e-06,3.85682506021112e-06
"SMC1A",-6.391856004484e-06,-9.60026591201313e-06,-1.51738117892819e-06,-3.52635743183782e-06
"FRMD7",5.82292045692157e-07,-9.09867685550125e-06,-4.49261415269575e-06,4.92771960125538e-06
"RIPK4",-1.06653196780826e-05,1.87485534297593e-06,-1.16161186269892e-06,-2.85372198050027e-06
"ARID1A",3.34483629558235e-05,4.18664203607477e-05,-3.81444770027883e-05,-3.9030837797327e-05
"WDR63",-5.99274790147319e-06,4.507543053478e-06,-2.17223896470387e-06,3.84896929972456e-06
"NBPF10",-1.13923561002593e-05,-1.79389462573454e-05,-6.2820754465065e-06,-3.13428108711378e-06
"CR2",-5.00698388350429e-06,-7.64154083299218e-06,9.50700996327214e-06,-5.63025196242961e-06
"TUBA3C",-8.22467791294912e-06,-3.08995622617658e-05,-1.32901996039436e-05,2.73310843112995e-06
"AHNAK2",-4.12336230510846e-05,-3.54092589986976e-05,-6.30017239018343e-05,1.61412626766833e-05
"ADAMTS7",3.9445197108634e-10,-6.433639732073e-10,7.74280140003469e-10,-1.62041102758081e-10
"KRT37",-1.45505134696577e-06,-9.5838886409183e-06,-8.47068713483168e-06,-8.55165671964642e-06
"DGKD",-1.1128045116493e-05,-7.42169675049809e-07,-6.19310867477907e-06,-7.4113713708357e-06
"COL6A3",-7.54366919863969e-05,-3.15594988933299e-05,-1.3840091014572e-05,-8.6144891611184e-06
"FRG1B",-2.01098737306893e-05,-2.66806891886517e-05,-1.22747778732446e-05,2.34056710723962e-06
"PRKG2",-1.95080665434944e-05,7.20773232387728e-06,-8.44998112370376e-07,-2.21275536205212e-06
"DOCK5",-2.51150777330622e-05,-3.14260687446222e-05,-1.52118245750898e-05,-3.7215085058051e-07
"ATP11C",-8.35960872791475e-06,1.14755066533689e-05,6.98795201969915e-06,-2.32778006648005e-06
"C3",1.66307854669867e-05,1.21558541650302e-05,3.42818657372845e-06,-6.7142691477784e-06
