"","Factor 1","Factor 2","Factor 3","Factor 4"
"cg23091104",-0.0297085773199797,0.00752051081508398,-0.0188272967934608,0.000458432652521878
"cg23057992",-0.00822018273174763,-0.0091409245505929,-0.0111195249482989,-1.11859935714165e-05
"cg14769786",0.409707695245743,-0.0297804288566113,-0.0270848479121923,8.79815559073904e-07
"cg11738485",0.030971422791481,-0.0131393233314157,-0.00597336189821362,-0.000862732471432537
"cg18873530",0.42270091176033,-0.0250923167914152,0.00262841465882957,9.50571848079562e-06
"cg20686479",0.427210777997971,-0.0200352780520916,-0.000124616926768795,1.16058401999908e-06
"cg13506653",0.420586585998535,-0.00566094601526856,-0.000175546054379083,-2.02568189706653e-05
"cg22747897",0.402360588312149,0.010887872427702,0.000807618140242994,-8.02390673015907e-07
"cg02353165",0.426611989736557,-0.00308497669175267,0.011224259622395,-1.85798271559179e-05
"cg05552183",0.420436590909958,-0.000799222267232835,0.00791924074292183,-6.21560275249067e-06
"cg18222083",0.418020516633987,0.0361217446625233,0.0148160513490438,1.33109566036183e-07
"cg16602369",-0.0193762667477131,-0.0284146163612604,-0.0686314105987549,8.1292811955791e-05
"cg23520075",0.362095862627029,-0.0701519697904587,0.0571065209805965,-0.000677262316457927
"cg04571941",0.0572806186974049,0.00951704382896423,0.00120225420687348,8.88594950083643e-05
"cg10884288",0.417280197143555,-0.00970999896526337,0.0101527338847518,-3.82215803256258e-05
"cg22621695",-0.0876732990145683,-0.100156150758266,-0.105140373110771,-1.28291485452792e-05
"cg10554839",-0.089349590241909,-0.0727160647511482,-0.0996718853712082,0.00117982632946223
"cg26705720",0.426715493202209,0.00584966177120805,0.0199679285287857,2.87329348793719e-05
"cg16848054",0.433500289916992,-0.0291309729218483,-0.00236379844136536,1.38779205371975e-06
"cg22932336",0.382760763168335,0.0186471100896597,-0.0470281466841698,1.24498119475902e-05
"cg00467244",0.422501742839813,0.000849195173941553,0.000291309377644211,-8.60412365000229e-06
"cg25813864",0.426954925060272,-0.00128817837685347,0.00995814707130194,4.59892089565983e-06
"cg00907288",0.398042619228363,-0.0235422570258379,-0.00114434224087745,4.86272483612993e-06
"cg07346310",0.408046245574951,-0.0250180345028639,-0.00566149922087789,6.98819030731102e-06
"cg13635007",0.3933424949646,0.00268995948135853,-0.0393636710941792,-4.8970309762808e-06
"cg17222941",0.407011181116104,-0.00755262281745672,-0.00283869029954076,0.000162899450515397
"cg05660436",0.410496771335602,-0.0455997511744499,0.0488723553717136,3.61120219167788e-05
"cg08442798",0.428049713373184,0.0209828019142151,0.0239286422729492,2.31170724873664e-05
"cg14018731",0.429703623056412,-0.0329859703779221,-0.00328883971087635,4.00005683331983e-06
"cg26572488",0.419838637113571,-0.00691692251712084,0.0202611889690161,4.61835361420526e-06
"cg04976780",0.421437740325928,-0.00126978242769837,-0.000204287105589174,1.29256513901055e-05
"cg24077454",-0.0621915236115456,-0.0461019314825535,-0.0278876442462206,0.000162612050189637
"cg03356595",0.427386790513992,-0.025531817227602,0.00101145158987492,1.9956643882324e-05
"cg25467973",0.433218091726303,-0.0319904871284962,0.0304130651056767,6.92398430146568e-07
"cg25906220",0.407863140106201,0.0192746389657259,0.00352713488973677,1.00872357506887e-05
"cg27294816",0.374113142490387,-0.0480509698390961,0.0660654008388519,-0.000413050292991102
"cg15673034",0.415794789791107,-0.000657828291878104,-0.000120518248877488,2.01282364287181e-05
